Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subs_A,Early win,Subs_B,Subject,Behavior,Behavioral category,Modifier #1,Behavior type,Time,Media file name,Image index,Image file path,Comment
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,First half,,,START,164.800,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,4944,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Time_on_offense_teamA,,,START,295.667,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,8870,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Successful_pass,,Mid,POINT,297.467,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,8924,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Successful_pass,,Mid,POINT,301.267,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9038,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Successful_pass,,Mid,POINT,306.133,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9184,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Successful_pass,,Mid,POINT,307.467,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9224,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Successful_pass,,Mid,POINT,310.233,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9307,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Forced_turnover,,Mid,POINT,314.500,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9435,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Pass,,Mid,POINT,314.500,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9435,NA,
1_Poland_Lithuania_Mixed,2025-05-02 16:07:56.825,The game of Poland against Lithuania in the mixed division.,2709.967,Media file(s),player #1:C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,0.0,6485.000,30.000,17,1,16,,Time_on_offense_teamA,,,STOP,314.500,C:/Users/basti/Desktop/Emmie/Poland vs Lithuania — MIXED Pool — European Ultimate Championships #EUC2023 [VIOlS4zZcfY].mp4,9435,NA,
